レバレジーズ株式会社,カスタマーサクセス担当／IT領域,"東京都                                                                                                                                                                    




レバレジーズ株式会社の求人
をすべて見る",公開していません,11日前,レバレジーズ株式会社
株式会社SUPER STUDIO,カスタマーサクセス／ECプラットフォーム「ecforce」,東京都 品川区 目黒駅,年収450万円～800万円,12日前,doda
リコーITソリューションズ株式会社,カスタマーサクセスマネージャー／社内DX リコーグループ／在宅勤務可,東京都 港区,年収400万円～700万円,公開していません,リクルートエージェント
株式会社コンベックス,カスタマーサクセス,東京都 渋谷区,年収400万円～600万円,14日前,doda
株式会社ギフティ,カスタマーサクセス,東京都 品川区,年収450万円～700万円,公開していません,【公式】ワーママ転職ならママリブラ
東京都中央区のITベンチャー企業／crew,カスタマーサクセス／01so,東京都 新宿区,年収420万円～700万円,1日前,ふれつり転職相談
株式会社サイシード,業界未経験歓迎・カスタマーサクセス職 既存顧客の課題解決,東京都 新宿区 新宿駅,年収550万円,17日前,doda
株式会社MCデータプラス,カスタマーサクセス,東京都 渋谷区 恵比寿駅,年収600万円～800万円,20日前,doda
テラドローン株式会社,カスタマーサクセス,東京都 渋谷区 渋谷駅 徒歩6分,年収350万円～600万円,1日前,Green
AMBL株式会社,カスタマーサクセス責任者・新規自社事業立ち上げ,東京都 品川区 大崎駅 徒歩5分,月給35万円～,9日前,U29JOB
MIL株式会社,カスタマーサクセス インタラクティブ動画のWeb解析コンサルタント,東京都 新宿区 新宿御苑前駅,年収450万円～696万円,18日前,doda
株式会社ニーリー,SaaSカスタマーサクセス,東京都 中央区 馬喰横山駅 徒歩2分,年収350万円～500万円,21時間前,U29JOB
HiTTO株式会社,カスタマーサクセス,東京都 千代田区,年収800万円～950万円,11日前,パソナキャリア
株式会社マツリカ,カスタマーサクセス,東京都 千代田区 小川町駅 徒歩3分,年収400万円～800万円,5時間前,Green
株式会社visumo,カスタマーサクセス,東京都 渋谷区,公開していません,公開していません,マイナビAGENT
株式会社ショーケース,カスタマーサクセス,東京都 港区 六本木一丁目駅,年収500万円～700万円,12日前,doda
株式会社じげん,シフト制カスタマーサクセス,東京都 港区 神谷町駅 徒歩3分,年収280万円～400万円,14日前,U29JOB
株式会社コンカー,カスタマーサクセスマネージャー／「働きがいのある会社」選出企業,東京都 中央区 銀座駅,"年収600万円～1,200万円",18日前,doda
ものレボ株式会社,カスタマーサクセス@関東,東京都 千代田区 東京駅 徒歩5分,年収390万円～600万円,3時間前,Green
note株式会社,カスタマーサクセス,東京都 港区,年収500万円～900万円,9日前,パソナキャリア
株式会社KADOKAWA Connected,カスタマーサクセス,東京都 千代田区,年収640万円～800万円,15日前,Green
パナソニック株式会社,カスタマーサクセス,東京都 港区,年収600万円～900万円,7日前,doda
株式会社ギブリー,マーケティングTechベンチャーのカスタマーサクセス～／年休120日,東京都 渋谷区 神泉駅,年収400万円～800万円,16日前,doda
株式会社プレックス,カスタマーサクセス,東京都 中央区 日本橋駅,年収400万円～700万円,17日前,doda
株式会社ビービット,既存顧客へのカスタマーサクセスコンサルタント～業務プロセス支援サービス「USERGRAM」～,東京都 千代田区 大手町駅,年収600万円～800万円,15日前,doda
カイテク株式会社／CaiTech inc.,Technology×医療／介護医療現場の笑顔を1つでも増やす／カスタマーサクセスを募集,東京都,年収400万円～600万円,6日前,en ミドルの転職
株式会社overflow,カスタマーサクセス責任者／CCO候補 SaaS×HR Tech／フルリモート・副業OK,東京都 新宿区,"年収800万円～1,200万円",公開していません,リクルートエージェント
ClipLine株式会社,カスタマーサクセス／動画型マネジメントSaaS サービス業へのDX推進,東京都 品川区 五反田駅,年収500万円～700万円,7日前,doda
ネットワンシステムズ株式会社,運用コンサルタント／業務改善コンサルタント～ICT利活用を促進するカスタマーサクセスチーム～,東京都 品川区 天王洲アイル駅,年収469万円～750万円,17日前,doda
スマートキャンプ株式会社,SaaS企業のカスタマーサクセス／バックオフィス／jinjer株式会社,東京都 新宿区 新宿駅,年収400万円～600万円,7日前,スマートキャンプ株式会社
株式会社バトンズ,M&A専門会社へのカスタマーサクセス,東京都 中央区 日本橋駅,年収350万円～650万円,16日前,doda
株式会社LINK,介護系ITスタートアップ／成長環境／事業拡大フェーズ,東京都 港区,年収310万円～446万円,公開していません,リクルートエージェント
パーソルテクノロジースタッフ株式会社,クラウド関連のIT営業で提案・顧客対応等,東京都 中央区 茅場町駅 徒歩5分,"時給2,500円～",公開していません,パーソル テクノロジースタッフ
ポスタス株式会社,カスタマーサクセスオンボーディング担当～フルフレックス／リモートワーク可～,東京都 中央区,年収400万円～700万円,10日前,doda
QLCシステム株式会社,カスタマーサクセス／年間休日120日／完全週休2日,東京都 品川区 五反田駅 徒歩1分,月給29万円～,16日前,doda
ログミー株式会社,カスタマーサクセス#新規サービス#イベント書き起こしメディア「ログミー」を運営する成長企業,東京都 港区 表参道駅,年収500万円～600万円,11日前,doda
株式会社カオナビ,カスタマーサクセス ～カオナビ導入プロジェクトの推進～,東京都 港区 虎ノ門駅,"年収500万円～1,000万円",5日前,doda
株式会社ホライズン,大学向けのカスタマサクセス・統括,東京都 千代田区 飯田橋駅 徒歩5分,月給30万円～50万円,6日前,かんたん応募
株式会社ルクレ,カスタマーサクセスGr. 営業職からのキャリアチェンジ歓迎! プロダクトマネージャー候補,東京都 港区 青山一丁目駅 徒歩1分,年収450万円～800万円,公開していません,Green
パナソニックグループ,工務店向けクラウドsumgooカスタマーサクセス,東京都 港区,公開していません,9日前,マイナビAGENT
メドメイン株式会社,カスタマーサクセス,東京都 港区,年収600万円～900万円,2日前,パソナキャリア
株式会社EN,大手経費精算ツールシステムのカスタマーサクセスのお仕事,東京都 新宿区 新宿駅,年収450万円～600万円,7日前,株式会社EN
テモナ株式会社,カスタマーサクセス職マネージャー／東証プライム上場／SaaS,東京都 渋谷区,"年収600万円～1,000万円",6日前,リクルートエージェント
株式会社エス・エム・エス,カスタマーサクセス 経営支援SaaS／東証1部／業界最大級シェア,東京都,年収400万円～650万円,公開していません,Spring転職エージェント
株式会社まぐまぐ,カスタマーサクセス クリエイター 対応／東証上場,東京都 品川区 不動前駅,年収300万円～500万円,18日前,doda
株式会社ウェルモ,カスタマーサクセス 福祉分野におけるSaas・人材紹介事業を展開,東京都 港区,年収400万円～800万円,5日前,リクルートエージェント
株式会社サーキュレーション,カスタマーサクセス,東京都 渋谷区 原宿駅 徒歩8分,年収450万円～700万円,公開していません,U29JOB
アガサ株式会社,時代が追い風となるSaaS企業でカスタマーサクセス部マネージャー候補募集,東京都,"年収800万円～1,000万円",3日前,en ミドルの転職
エン・ジャパン株式会社,カスタマーサクセス,東京都 新宿区 西新宿駅,"月給27万5,000円～36万8,000円",3日前,エン転職
パーソルキャリア株式会社,経営・ITのコンサルティング営業職～’’雇用によらない働き方’’領域の創造～,東京都 港区 乃木坂駅 徒歩6分,年収450万円～701万円,6日前,CREATIVE JOB
株式会社ランチェスター,カスタマーサクセス 在宅勤務,東京都 港区 外苑前駅,年収500万円～800万円,19日前,doda
アサヒプリテック株式会社,カスタマーサクセス／産業廃棄物業界のDX化を推進する革新的SaaS企業,東京都 中央区 茅場町駅,年収600万円～800万円,10日前,doda
株式会社インフォマート,カスタマーサクセス・電子請求書,東京都 港区 浜松町駅 徒歩2分,年収550万円～650万円,6日前,U29JOB
17LIVE株式会社,リーダー候補 カスタマーサクセス,東京都 港区,公開していません,18日前,マイナビAGENT
株式会社Moffly,カスタマーサクセス～Google出身社長のもとで事業を育てる／ヒト・コミュニケーションズG,東京都 渋谷区,年収600万円～800万円,12日前,doda
株式会社ペイジェント,カスタマーサクセス,東京都 渋谷区,年収400万円～700万円,17日前,doda
スパイダープラス株式会社,カスタマーサクセスリーダー候補,東京都 港区,年収400万円～500万円,28日前,ワークポート
booost technologies株式会社,東京 カスタマーサクセス,東京都 千代田区 溜池山王駅,年収350万円～900万円,公開していません,Geekly
株式会社クリーク・アンド・リバー社,IT関連企業でのWebデザイナーアシスタント,東京都 港区,"時給1,600円～1,800円",46分前,CREATIVE JOB
株式会社ベター・プレイス,カスタマーサクセス／労務知識必須,東京都 新宿区 曙橋駅,年収348万円～700万円,公開していません,Geekly
マルゴト株式会社,フルリモート人事／採用カスタマーサクセス／リーダー候補,東京都 中央区 日本橋駅,月給25万円～40万円,19時間前,doda
株式会社ファーストロジック,東京 カスタマーサクセス 不動産会社へのサポート／楽待,東京都 中央区,年収432万円～800万円,公開していません,リクルートエージェント
株式会社Blueship,未経験歓迎 DX化 ITサービスマネジメント 職種相談,東京都 渋谷区 渋谷駅 徒歩7分,年収350万円～600万円,4日前,Green
WED株式会社,カスタマーサクセスポジション,東京都 渋谷区 北参道駅 徒歩3分,年収450万円～700万円,3時間前,Green
株式会社TRUSTDOCK,カスタマーサクセス／自社製品導入後のフォローアップ,東京都 千代田区,年収400万円～700万円,10日前,doda
サークレイス株式会社,カスタマーサクセスコンサルタント Excel等OAスキル活かせる 在宅案件有,東京都 千代田区 東京駅 徒歩2分,"月給27万5,000円～34万5,000円",6日前,女の転職type
ライフイズテック株式会社,カスタマーサクセス,東京都 港区 白金高輪駅 徒歩5分,年収400万円～800万円,3時間前,Green
株式会社コムニコ,プロダクトカスタマーサクセス,東京都 港区 汐留駅 徒歩1分,年収400万円～600万円,公開していません,U29JOB
w2ソリューション株式会社,カスタマーサクセス リーダー／SaaS CSリーダー,東京都 中央区 東銀座駅,年収600万円～900万円,公開していません,Geekly
株式会社ローカルワークス,カスタマーサクセスマネージャー,東京都 品川区 目黒駅 徒歩1分,年収500万円～850万円,3時間前,Green
playground株式会社,カスタマーサクセス シニア,東京都 千代田区 半蔵門駅 徒歩5分,"年収600万円～1,300万円",1日前,Green
株式会社ユーザベース SPEEDA事業,カスタマーサクセス 既存顧客の他部署への導入商談創出や活用促進フォロー等,東京都 千代田区,年収510万円～880万円,14日前,LIBZ
株式会社ジャパン・メディカル・カンパニー,カスタマーサクセス,東京都 中央区 東日本橋駅 徒歩4分,年収300万円～600万円,29日前,Green
株式会社HR Force,カスタマーサクセス／年休124日／残業少／プライベート充実,東京都 港区 浜松町駅 徒歩2分,月給26万700円～50万円,18時間前,doda
BizteX株式会社,リモート可&フレックス／カスタマーサクセス 自社開発「Automation,東京都 新宿区,年収480万円～700万円,14日前,LIBZ
プロパティデータバンク株式会社,カスタマーサクセス 年間休日127日 清水建設グループ,東京都 港区 浜松町駅 徒歩1分,"月給31万2,500円～",公開していません,女の転職type
VISITS Technologies株式会社,カスタマーサクセスリーダー,東京都 千代田区 二重橋前駅 徒歩1分,年収550万円～850万円,6日前,Green
Cocolive株式会社,不動産techのカスタマーサクセス／フルリモート／残業20H程／IPOに向けた増員採用,東京都 千代田区,年収360万円～600万円,7日前,doda
株式会社スマートショッピング,IoT製品のカスタマーサクセス,東京都 品川区 五反田駅,年収320万円～450万円,6時間前,doda
ビズメイツ株式会社,WEBマーケター 教育×ITでグローバル人材・企業の成長支援 フレックス勤務OK,東京都 千代田区 神田駅 徒歩2分,年収396万円～,12時間前,エン転職
株式会社船井総研コーポレートリレーションズ,カスタマーサクセス／未経験OK／基本リモートワーク／年休120日～,東京都 港区 芝公園駅 徒歩1分,年収350万円～400万円,27日前,女の転職type
株式会社イソリア,英語×IT ITサポートデスク 英語力を活かせる／一部シェアオフィス在宅勤務可,東京都 港区,年収450万円～600万円,公開していません,リクルートエージェント
日本アイ・ビー・エム株式会社,カスタマーサクセスマネージャー,東京都 中央区 水天宮前駅,"年収580万円～2,700万円",14日前,doda
SALES ROBOTICS株式会社,カスタマーサクセス／営業支援 日本を代表する老舗大手・外資有名企業の営業組織の売り上げ構築サポート,東京都 中央区,年収400万円～550万円,14日前,LIBZ
株式会社スカラ,カスタマーサクセス,東京都 渋谷区 渋谷駅 徒歩3分,年収375万円～500万円,公開していません,U29JOB
株式会社パソナ,IT業界 部署アシスタント／営業アシスタント,東京都 新宿区 西新宿駅 徒歩3分,"時給1,880円",6日前,パソナJOBサーチ
株式会社トラント,IT事務,東京都 渋谷区 恵比寿駅 徒歩3分,年収300万円～500万円,2時間前,Green
株式会社リンク,システム企画／自社ITサービス,東京都 港区 外苑前駅,年収450万円～700万円,公開していません,Geekly
テクバン株式会社,カスタマーサクセス,東京都 港区 芝浦ふ頭駅 徒歩1分,年収400万円～700万円,公開していません,U29JOB
株式会社陣屋コネクト,カスタマーサクセスマネージャー,東京都 新宿区 都庁前駅 徒歩1分,年収300万円～,3時間前,Green
株式会社Arinos,ITコンサルタント／営業 コンサルタントになりたい方大歓迎,東京都 港区,公開していません,27日前,マイナビAGENT
株式会社デリバリーコンサルティング,ITソリューションセールス,東京都 港区 白金高輪駅 徒歩2分,年収400万円～600万円,3時間前,Green
CREW株式会社,カスタマーサクセス,東京都 豊島区 池袋駅 徒歩5分,公開していません,4日前,ふれツリ求人なび
株式会社ブレイン・ラボ,人材派遣業界出身歓迎 残業月15時間 リモートOK!IT業界にスキルアップ,東京都 港区 田町駅,年収370万円～500万円,17日前,doda
シェルフィー株式会社,未経験OK!キャリアチェンジ歓迎! 今大注目のカスタマーサクセスポジションにチャレンジしませんか?,東京都 目黒区,年収350万円～630万円,14日前,LIBZ
株式会社identity,フリーランス／カスタマーサクセス／データ分析基盤／データ分析基盤の導入支援、および運用サポート,東京都 品川区 目黒駅,月給65万円～75万円,6日前,modis
株式会社エス・ワイ・エス,カスタマーサクセス,東京都 港区 表参道駅 徒歩5分,年収350万円～600万円,18日前,Green
ユームテクノロジージャパン株式会社,カスタマーサクセス～SaaS型教育学習プラットフォーム／100万社以上の導入実績,東京都 渋谷区,年収500万円～700万円,16日前,doda
株式会社Prazto,Salesforceカスタマーサクセスマネージャー CSM,東京都 渋谷区,年収700万円～800万円,2日前,Green
株式会社メタップスペイメント,未経験可／カスタマーサクセス Saasサービス,東京都 港区 品川駅 徒歩5分,年収350万円～600万円,3時間前,Green
リノベる株式会社,IT戦略 担当 TechでDX推進／テレワークOK!／年俸600万円以上／年間休日125日,東京都 港区 表参道駅 徒歩4分,年収600万円～980万円,10日前,エン転職
K2 Partnering Solutions株...,在宅 今時の働き方が叶う!カスタマーサクセス,東京都 港区 六本木一丁目駅 徒歩2分,"時給2,000円～",4日前,エン派遣
株式会社アルファドライブ,カスタマーサクセス,東京都 千代田区 東京駅 徒歩1分,公開していません,2日前,CREATIVE JOB
株式会社エヌ・ティ・ティ・データ,Salesforceを中核としてDXを推進するITコンサルタント／プロジェクトマネージャー,東京都,"年収450万円～1,000万円",15日前,Spring転職エージェント
株式会社ジョリーグッド,カスタマーサクセス,東京都 中央区 馬喰横山駅 徒歩4分,年収360万円～600万円,2日前,Green
株式会社ナレッジラボ,カスタマーサクセス,東京都 港区 田町駅,年収600万円～900万円,15日前,doda
株式会社オブジェクティブコンセプト,IT事務・WEBマーケ 「カッコ良さそうだから」で応募OK,東京都 港区 赤坂見附駅 徒歩2分,月給25万円～,6日前,リクナビNEXT
株式会社サル,リモートワークあり!新規事業の立上げメンバー お客様の悩みや要望に応えるカスタマーサクセス業務,東京都 品川区,年収350万円～600万円,13日前,LIBZ
株式会社FRONTEO,カスタマーサクセス企画常駐チーム,東京都 港区 品川駅 徒歩12分,"年収1,000万円～1,200万円",公開していません,キャリコネ転職
株式会社すららネット,カスタマーサクセス,東京都 千代田区,年収450万円～600万円,6日前,パソナキャリア
フリービット株式会社,コールセンター管理者／カスタマーサクセス,東京都 渋谷区,年収400万円～569万円,11日前,パソナキャリア
あらゆるデータを、「ビジネスの力に変える」データ...,カスタマーサクセス,東京都,公開していません,21日前,type 転職エージェント
NECソリューションイノベータ株式会社,セールスエンジニア リーダー候補／Salesforceを用いたマーケティング、カスタマーサクセス支援,東京都 江東区 新木場駅,年収600万円～900万円,11日前,レバテックキャリア
株式会社アルダグラム,カスタマーサクセス・SaaS,東京都 中央区 三越前駅 徒歩4分,年収500万円～800万円,18日前,Green
株式会社ブイキューブ,カスタマーサクセス,東京都 港区 白金高輪駅,年収360万円～450万円,19日前,doda
株式会社クリエイティブバンク,大手半導体メーカー等IT企業と直取引 売上2億円／人,東京都 千代田区,年収550万円～900万円,公開していません,リクルートエージェント
株式会社ガラパゴス,WEBマーケティングプランナー／カスタマーサクセス リーダー候補,東京都 千代田区 神保町駅 徒歩1分,年収500万円～700万円,3時間前,Green
株式会社ヒューマネージ,カスタマーサクセス職／トップランナーのHR Tech企業で人材の“適材適所”と“活躍”を支援／未経験,東京都 千代田区 永田町駅,年収370万円～500万円,3日前,doda
株式会社ストリートスマート,Googleクラウドツールのカスタマーサクセス,東京都 港区,年収402万円～700万円,12日前,doda
TTU株式会社,越境ECカスタマーサクセス・営業サポート,東京都 千代田区 有楽町駅 徒歩1分,"時給1,200円～1,500円",公開していません,はたらくぞドットコム
株式会社スマートドライブ,カスタマーサクセス 移動の進化を後押し／未来のスマートシティを創る,東京都 千代田区,年収500万円～850万円,公開していません,リクルートエージェント
株式会社クーリエ,カスタマーサクセス,東京都 渋谷区 恵比寿駅 徒歩5分,"年収700万円～1,200万円",26日前,U29JOB
株式会社ベリサーブ,カスタマーサクセスエンジニア／品質保証領域／研究企画開発,東京都 千代田区 水道橋駅,年収467万円～869万円,公開していません,Geekly
株式会社ココラブル,カスタマーサクセス,東京都 渋谷区 渋谷駅,年収450万円～500万円,11日前,doda
ユニアデックス株式会社,ITサービスマネージャー 残業月15h／福利厚生充実,東京都 江東区 豊洲駅,年収420万円～850万円,18日前,doda
HJホールディングス株式会社,カスタマーサクセス@満足度向上のためのユーザーコミュニケーション,東京都 港区,年収400万円～600万円,16日前,リクルートエージェント
株式会社セグメント,カスタマーサクセス／ユーザーハイタッチ支援,東京都 港区 虎ノ門ヒルズ駅,"年収700万円～1,000万円",公開していません,Geekly
株式会社FAN・DREAM,カスタマーサクセス責任者候補ub n,東京都 中央区,月給58万円～75万円,公開していません,株式会社FAN・DREAM
千株式会社,保育×IT,東京都 立川市,年収350万円～450万円,公開していません,リクルートエージェント
LAETOLI株式会社,IT テストエンジニア,東京都 港区 外苑前駅 徒歩1分,年収330万円～600万円,6日前,Green
株式会社トラストバンク,カスタマーサクセス,東京都 渋谷区 渋谷駅,公開していません,公開していません,株式会社トラストバンク
株式会社ARROWS,カスタマーサクセス／マネージャー,東京都 中央区,年収600万円～900万円,公開していません,Education Career
株式会社Azoop,一人目の専任・カスタマーサクセス職 自社Saas事業の中核人材として一緒に事業,東京都 港区,年収540万円～720万円,13日前,LIBZ
株式会社パシフィックメディカル,カスタマーサクセス 継続率99%の電子カルテ「MALL」・メドレーグループ,東京都 港区,年収300万円～500万円,公開していません,リクルートエージェント
株式会社データⅩ,若手カスタマーサクセス,東京都 新宿区 西新宿駅 徒歩5分,年収420万円～720万円,2日前,Green
株式会社ABEJA,セールス&カスタマーサクセス,東京都 港区,年収600万円～900万円,7日前,doda
株式会社SALTO,平均29歳の賑やかなIT会社 法人営業・キャリアアドバイザー,東京都 新宿区 新宿御苑前駅 徒歩4分,月給25万円～35万円,9日前,リクナビNEXT
株式会社エムエム総研,キャリアアドバイザー 応募数増加中のIT／SaaS系企業に特化,東京都 新宿区 東新宿駅 徒歩3分,年収350万円～550万円,22日前,Green
株式会社シーディーアイ,カスタマーサクセス 介護業界AIスタートアップ企業,東京都 中央区,年収480万円～540万円,公開していません,リクルートエージェント
株式会社バリューワン,企画営業 事業拡大により増員! IT業界未経験大歓迎,東京都 渋谷区,年収400万円～600万円,8日前,リクルートエージェント
株式会社博報堂,カスタマーサクセスコンサルタント 得意先の事業成長を支える／DX戦略のアップデートや施策立案,東京都 港区 赤坂駅,"年収850万円～1,500万円",12日前,doda
HENNGE株式会社,カスタマーサクセスアカウントマネージャー セキュリティSaaSサービス,東京都 渋谷区,年収460万円～750万円,14日前,リクルートエージェント
フォースバレー・コンシェルジュ株式会社,新規事業 カスタマーサクセス／SaaS型プラットフォームビジネスでのCS,東京都 新宿区 四ツ谷駅 徒歩2分,年収400万円～500万円,3日前,Green
株式会社インターファーム,事業を育てるカスタマーサクセス・WEBマーケのリーダー候補,東京都 渋谷区 渋谷駅 徒歩7分,公開していません,15日前,リクナビNEXT
株式会社Speee,カスタマーサクセス,東京都 港区 六本木一丁目駅 徒歩4分,年収400万円～750万円,17日前,U29JOB
株式会社シー・ビー・ティ・ソリューションズ,カスタマーサクセス／既存顧客のトータルサポート／業界No.1の自社サービス,東京都 千代田区 神田駅 徒歩2分,"月給28万5,000円～35万7,000円",公開していません,女の転職type
株式会社dinii,カスタマーサクセス 飲食店向けSaaSプロダクト「dinii」,東京都 台東区,年収500万円～800万円,9日前,リクルートエージェント
パイオニア株式会社,クラウド型運行管理サービスのITスペシャリスト,東京都 文京区,"年収700万円～1,100万円",19日前,イーキャリア
ビーウィズ株式会社,カスタマーサクセス職,東京都 新宿区 新宿駅 徒歩12分,年収600万円～785万円,1日前,エン エージェント
株式会社FAN・DREAM 六本木オフィス,カスタマーサクセスマネージャー職 Bep,東京都 港区 六本木一丁目駅 徒歩5分,"月給41万6,666円～83万3,333円",公開していません,株式会社FAN・DREAM
株式会社テンダ,プリセールス・セールスエンジニア 自社パッケージ提案営業／インサイド・フィールド選択可,東京都 豊島区 池袋駅,公開していません,1日前,レバテックキャリア
株式会社ReBank,財務諸表の知識活用／IT×金融の新事業／育休産休配慮,東京都 千代田区,年収400万円～700万円,公開していません,リクルートエージェント
株式会社ドクターネット,b02. 遠隔読影カスタマーサクセス 東京,東京都 港区 浜松町駅 徒歩3分,年収350万円～700万円,20日前,Green
合同会社DMM.com,カスタマーサクセス DMM新規事業部の立ち上げメンバーを募集! リモートワークOK,東京都 港区 六本木一丁目駅,年収399万円～550万円,17日前,エン転職
NexusLink株式会社,カスタマーサクセス 未経験歓迎,東京都 新宿区,年収420万円～720万円,公開していません,NexusLink株式会社
株式会社Retail AI X,在宅勤務メイン／カスタマーサクセスマネージャー WEB面接可,東京都 港区,年収400万円～800万円,公開していません,リクルートエージェント
株式会社リバスタ,Salesforceアドミニストレーター／上流工程の習得、社内IT基盤の統制～建設業界向けIT支援～,東京都 江東区 豊洲駅,年収350万円～580万円,15日前,doda
サイファー・テック株式会社,カスタマーサクセス,東京都 新宿区,年収400万円～550万円,18日前,doda
株式会社オロ,カスタマーサクセス,東京都 目黒区,年収416万円～752万円,公開していません,パソナキャリア
株式会社アドバンテッジリスクマネジメント,カスタマーサクセス・オペレーション担当／課長職／デジタルヘルス推進部,東京都 目黒区 中目黒駅,年収500万円～700万円,公開していません,Geekly
パイプドHD株式会社,未経験歓迎:9／1または12／1入社のIT営業職 研修充実／土日祝休み／年間休日126日,東京都 港区,年収495万円,7時間前,エージェントパーク
SheepMedical株式会社,ITコンサルタント 多様なシステム開発プロジェクトを推進いただく重要ポジション,東京都 新宿区 高田馬場駅 徒歩3分,年収650万円～850万円,1日前,en ミドルの転職
アソビュー株式会社,カスタマーサクセス,東京都 品川区 大崎駅 徒歩1分,"年収364万5,000円～594万円",13日前,アソビュー株式会社
株式会社FABRIC TOKYO,東京 アパレルコーディネーター IT技術を用いて業界をリード／売上成長率175%,東京都 渋谷区,年収300万円～420万円,27日前,リクルートエージェント
吉積ホールディングス・クラウドエース,カスタマーサクセス,東京都 千代田区 大手町駅,年収400万円～600万円,公開していません,吉積ホールディングス・クラウドエース
伊藤忠インタラクティブ株式会社,ITコンサルタント／DX推進プロデューサー サービス⽴ち上げフェーズ,東京都 港区 白金高輪駅,"年収805万円～1,016万円",20日前,レバテックキャリア
ビートレンド株式会社,技術部門サポート／ITサポート 大手チェーン多数導入,東京都 千代田区,年収350万円～500万円,公開していません,リクルートエージェント
株式会社KADOKAWA Connected 富...,カスタマーサクセス,東京都 千代田区 飯田橋駅 徒歩3分,月給40万円～50万円,公開していません,type
株式会社ネオキャリア,カスタマーサクセス,東京都 新宿区 新宿駅,年収300万円～450万円,19日前,doda
CBcloud株式会社,カスタマーサクセス,東京都 千代田区 秋葉原駅,年収400万円～600万円,公開していません,パソナキャリア
株式会社グローバー,食×IT×メンテナンス×領域でSaasの法人営業 DXで飲食業界の課題を解決,東京都 千代田区 岩本町駅,年収450万円～550万円,16日前,doda
日本ワムネット株式会社,ソリューション営業 IT業界未経験可／注目を集めるSaaS製品／月平均残業18H,東京都 中央区,年収440万円～600万円,公開していません,リクルートエージェント
株式会社シェアコネクト,店舗向けSaaSのカスタマーサクセス,東京都 渋谷区,公開していません,6日前,株式会社シェアコネクト
株式会社タレントアンドアセスメント,営業／企画営業 AI面接サービス「SHaiN」の営業・カスタマーサクセスです。TEL／Web会議,東京都 港区,"月給25万円～35万8,000円",公開していません,株式会社タレントアンドアセスメント
セカンドラボ株式会社,事業企画、マーケティング、クライアント開拓、カスタマーサクセスを担当,東京都 新宿区 新宿駅 徒歩8分,年収380万円～550万円,公開していません,Green
トラボックス株式会社,カスタマーサクセス,東京都 渋谷区 渋谷駅,"年収700万円～1,100万円",公開していません,Geekly
株式会社Billage,カスタマーサクセス,東京都 品川区                                                                                                                                                                その他 (4),年収500万円～600万円,公開していません,株式会社Billage
シェアーズマーケット株式会社,営業事務 カスタマーサクセス／新サービスのスターティング募集,東京都 新宿区 新宿三丁目駅 徒歩1分,月給25万円～,公開していません,シェアーズマーケット株式会社
FLEX8合同会社,IT企業でのメール、電話によるカスタマーサポート業務,東京都 渋谷区,年収480万円～710万円,公開していません,FLEX8合同会社
株式会社アバント,ITソリューション営業,東京都 港区,年収500万円～800万円,公開していません,パソナキャリア
株式会社大西,IT営業／残業10H／月・リモートワーク推奨,東京都 新宿区 東新宿駅,年収425万円～500万円,7日前,doda
株式会社ビットキー,SMBカスタマーサクセス,東京都 中央区 京橋駅 徒歩3分,公開していません,1日前,CREATIVE JOB
Flat Holdings株式会社,"みなとみらい勤務 ""電話×IT""自社サービスのPM／ハイブリット勤務OK",東京都,"年収600万円～1,200万円",3時間前,Green
全研本社株式会社,カスタマーサクセス 未経験者OK／経営課題解決に導く仕事／20代～30代活躍中／年間休日125日,東京都 新宿区 都庁前駅 徒歩6分,月給25万円～35万円,10日前,全研本社株式会社eマーケティング事業本部
株式会社MICIN,事業企画・推進／ビジネスリード ～医療×ITのスタートアップ企業～,東京都 千代田区,"年収600万円～1,100万円",17日前,doda
株式会社アイリッジ,カスタマーサクセス／事業開発,東京都 港区 神谷町駅,公開していません,公開していません,株式会社アイリッジ
株式会社with,カスタマーサクセス,東京都 港区 六本木一丁目駅                                                                                                                                                                その他 (3),年収400万円～900万円,公開していません,株式会社with
株式会社エス・エス・シービジネスサポート,カスタマーサクセス／代理店のサポート／リモート併用,東京都 渋谷区 渋谷駅,月給26万円～38万円,23日前,株式会社エス・エス・シービジネスサポート
株式会社フーディソン,人事／スタートアップ人事、組織戦略立案～生鮮業界×ITによる新事業展開～,東京都 中央区 勝どき駅,年収550万円～700万円,8時間前,doda
株式会社アルム,マーケティング担当 ～医療業界の課題をITで解決 資金調達約56億円の急成長企業～,東京都 渋谷区,年収500万円～800万円,14日前,doda
iYell株式会社,FinTech企業でITソリューション営業,東京都 渋谷区,公開していません,21日前,マイナビAGENT
株式会社テリロジー,カスタマーサクセス／官公庁採用の「サイバー攻撃」対策サービス,東京都 千代田区 九段下駅,年収450万円～650万円,16日前,doda
株式会社よりそう,新規事業営業 ～IT×葬儀／ForbesJAPAN社会貢献賞受賞／お客満足度94%～,東京都 品川区 五反田駅,年収550万円～600万円,12日前,doda
株式会社FutureAI,IT系総合職 未経験者歓迎 20代が多数活躍中 女性活躍推進企業,東京都 豊島区 池袋駅 徒歩1分,月給25万円,15日前,女の転職type
株式会社フォトラクション,カスタマーサクセスマネージャー,東京都 中央区,"年収700万円～1,000万円",21日前,株式会社フォトラクション
ブライトコーブ株式会社,カスタマーサクセスマネージャー,東京都 港区,公開していません,1日前,パソナキャリア
